stage,source_table,target_table,executed_at,processing_duration_seconds,num_records_cleaned
transformation,bronze.transfers,silver.transfers,34 minutes ago,3.3,39251
transformation,bronze.players,silver.players,34 minutes ago,3.65,12622
transformation,bronze.player_valuations,silver.player_valuations,34 minutes ago,3.37,195750
transformation,bronze.games,silver.games,35 minutes ago,4.09,15831
transformation,bronze.game_lineups,silver.game_lineups,35 minutes ago,7.48,811397
transformation,bronze.game_events,silver.game_events,35 minutes ago,6.2,471993
transformation,bronze.competitions,silver.competitions,35 minutes ago,2.52,44
transformation,bronze.clubs,silver.clubs,35 minutes ago,3.05,439
transformation,bronze.club_games,silver.club_games,35 minutes ago,4.38,147390
transformation,bronze.appearance,silver.appearance,35 minutes ago,7.04,715463
transformation,bronze.transfers,silver.transfers,1 hours ago,3.54,39251
transformation,bronze.players,silver.players,1 hours ago,4.14,12622
transformation,bronze.player_valuations,silver.player_valuations,1 hours ago,4.21,195750
transformation,bronze.games,silver.games,1 hours ago,4.58,15831
transformation,bronze.game_lineups,silver.game_lineups,1 hours ago,7.1,811397
transformation,bronze.game_events,silver.game_events,1 hours ago,5.5,471993
transformation,bronze.competitions,silver.competitions,1 hours ago,2.7,44
transformation,bronze.clubs,silver.clubs,1 hours ago,2.98,439
transformation,bronze.club_games,silver.club_games,1 hours ago,4.37,147390
transformation,bronze.appearance,silver.appearance,1 hours ago,7.24,715463
transformation,bronze.transfers,silver.transfers,23 hours ago,3.69,39251
transformation,bronze.players,silver.players,23 hours ago,4.07,12622
transformation,bronze.player_valuations,silver.player_valuations,23 hours ago,3.91,195750
transformation,bronze.games,silver.games,23 hours ago,4.28,15831
transformation,bronze.game_lineups,silver.game_lineups,23 hours ago,7.06,811397
transformation,bronze.game_events,silver.game_events,23 hours ago,5.27,471993
transformation,bronze.competitions,silver.competitions,23 hours ago,3.01,44
transformation,bronze.clubs,silver.clubs,23 hours ago,3.76,439
transformation,bronze.club_games,silver.club_games,23 hours ago,4.71,147390
transformation,bronze.appearance,silver.appearance,23 hours ago,7.29,715463
transformation,bronze.transfers,silver.transfers,1 days ago,3.58,39251
transformation,bronze.players,silver.players,1 days ago,4.54,12622
transformation,bronze.player_valuations,silver.player_valuations,1 days ago,3.97,195750
transformation,bronze.games,silver.games,1 days ago,4.68,15831
transformation,bronze.game_lineups,silver.game_lineups,1 days ago,9.09,811397
transformation,bronze.game_events,silver.game_events,1 days ago,5.5,471993
transformation,bronze.competitions,silver.competitions,1 days ago,3.21,44
transformation,bronze.clubs,silver.clubs,1 days ago,3.86,439
transformation,bronze.club_games,silver.club_games,1 days ago,4.89,147390
transformation,bronze.appearance,silver.appearance,1 days ago,8.64,715463
transformation,bronze.transfers,silver.transfers,2 days ago,4.93,39251
transformation,bronze.players,silver.players,2 days ago,4.12,12622
transformation,bronze.player_valuations,silver.player_valuations,2 days ago,4.66,195750
transformation,bronze.games,silver.games,2 days ago,7.49,15831
transformation,bronze.game_lineups,silver.game_lineups,2 days ago,11.1,811397
transformation,bronze.game_events,silver.game_events,2 days ago,6.81,471993
transformation,bronze.competitions,silver.competitions,2 days ago,2.93,44
transformation,bronze.clubs,silver.clubs,2 days ago,3.17,439
transformation,bronze.club_games,silver.club_games,2 days ago,5.67,147390
transformation,bronze.appearance,silver.appearance,2 days ago,9.52,715463
transformation,bronze.transfers,silver.transfers,2 days ago,3.98,39251
transformation,bronze.players,silver.players,2 days ago,4.2,12622
transformation,bronze.player_valuations,silver.player_valuations,2 days ago,3.89,195750
transformation,bronze.games,silver.games,2 days ago,4.78,15831
transformation,bronze.game_lineups,silver.game_lineups,2 days ago,9.68,811397
transformation,bronze.game_events,silver.game_events,2 days ago,7.54,471993
transformation,bronze.competitions,silver.competitions,2 days ago,2.81,44
transformation,bronze.clubs,silver.clubs,2 days ago,3.1,439
transformation,bronze.club_games,silver.club_games,2 days ago,5.94,147390
transformation,bronze.appearance,silver.appearance,2 days ago,9.93,715463
transformation,bronze.transfers,silver.transfers,2 days ago,3.41,39251
transformation,bronze.players,silver.players,2 days ago,4.08,12622
transformation,bronze.player_valuations,silver.player_valuations,2 days ago,3.87,195750
transformation,bronze.games,silver.games,3 days ago,4.53,15831
transformation,bronze.game_lineups,silver.game_lineups,3 days ago,7.55,811397
transformation,bronze.game_events,silver.game_events,3 days ago,6.77,471993
transformation,bronze.competitions,silver.competitions,3 days ago,2.59,44
transformation,bronze.clubs,silver.clubs,3 days ago,3.14,439
transformation,bronze.club_games,silver.club_games,3 days ago,5.24,147390
transformation,bronze.appearance,silver.appearance,3 days ago,10.24,715463
